issue_year,volume,issue,article_id,publication_date,online_date,supplementary_asset_count,code_asset_count,status
2023,5,1,s42256-022-00594-1,2023/01,2022/12/12,0,0,ok
2023,5,1,s42256-022-00595-0,2023/01,2023/01/16,14,0,ok
2023,5,1,s42256-022-00596-z,2023/01,2023/01/25,0,0,ok
2023,5,1,s42256-022-00599-w,2023/01,2023/01/25,2,0,ok
2023,5,1,s42256-022-00600-6,2023/01,2023/01/12,0,0,ok
2023,5,1,s42256-022-00601-5,2023/01,2023/01/25,0,0,ok
2023,5,1,s42256-022-00602-4,2023/01,2023/01/17,0,0,ok
2023,5,1,s42256-023-00608-6,2023/01,2023/01/11,0,0,ok
2023,5,1,s42256-023-00613-9,2023/01,2023/01/20,0,0,ok
2023,5,2,s42256-022-00603-3,2023/02,2023/01/26,0,0,ok
2023,5,2,s42256-022-00604-2,2023/02,2023/02/13,4,0,ok
2023,5,2,s42256-022-00605-1,2023/02,2023/02/02,4,0,ok
2023,5,2,s42256-022-00606-0,2023/02,2023/01/26,0,0,ok
2023,5,2,s42256-022-00607-z,2023/02,2023/02/02,5,0,ok
2023,5,2,s42256-023-00609-5,2023/02,2023/02/13,10,0,ok
2023,5,2,s42256-023-00610-y,2023/02,2023/02/23,5,1,ok
2023,5,2,s42256-023-00611-x,2023/02,2023/02/20,1,0,ok
2023,5,2,s42256-023-00614-8,2023/02,2023/02/07,0,0,ok
2023,5,2,s42256-023-00615-7,2023/02,2023/02/23,0,0,ok
2023,5,2,s42256-023-00616-6,2023/02,2023/02/23,7,0,ok
2023,5,2,s42256-023-00631-7,2023/02,2023/02/23,0,0,ok
2023,5,3,s42256-023-00612-w,2023/03,2023/03/09,2,0,ok
2023,5,3,s42256-023-00617-5,2023/03,2023/03/23,0,0,ok
2023,5,3,s42256-023-00618-4,2023/03,2023/03/23,0,0,ok
2023,5,3,s42256-023-00619-3,2023/03,2023/03/06,3,0,ok
2023,5,3,s42256-023-00620-w,2023/03,2023/03/13,2,0,ok
2023,5,3,s42256-023-00621-9,2023/03,2023/02/28,0,0,ok
2023,5,3,s42256-023-00622-8,2023/03,2023/02/23,2,0,ok
2023,5,3,s42256-023-00623-7,2023/03,2023/03/13,0,0,ok
2023,5,3,s42256-023-00625-5,2023/03,2023/03/02,2,0,ok
2023,5,3,s42256-023-00626-4,2023/03,2023/03/02,1,0,ok
2023,5,3,s42256-023-00627-3,2023/03,2023/03/13,16,0,ok
