File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00857-z/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_857_MOESM1_ESM_pdf.md,0,0,6547,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00858-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_858_MOESM1_ESM_pdf.md,0,0,7494,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00860-4/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_860_MOESM1_ESM_pdf.md,0,0,13728,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00861-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_861_MOESM1_ESM_pdf.md,0,0,26932,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00863-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_863_MOESM1_ESM_pdf.md,0,0,11324,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00864-0/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_864_MOESM1_ESM_pdf.md,0,0,21728,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00866-y/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_866_MOESM1_ESM_pdf.md,0,0,5478,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00868-w/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_868_MOESM1_ESM_pdf.md,0,0,41841,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00935-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_935_MOESM1_ESM_pdf.md,0,0,14813,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00937-0/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_937_MOESM1_ESM_pdf.md,0,0,15722,,
